iter	Logloss
0	0.6670155201
1	0.6429752058
2	0.6218302834
3	0.6023497106
4	0.5875715111
5	0.5728519422
6	0.5599068348
7	0.5494806392
8	0.5393908521
9	0.529442218
10	0.5221868901
11	0.5151660583
12	0.5081237443
13	0.5022599532
14	0.4973303404
15	0.4934316758
16	0.4893686779
17	0.4858569058
18	0.4821904784
19	0.4798880929
20	0.4768686933
21	0.4742920561
22	0.4719838095
23	0.4698139008
24	0.4679266464
25	0.4663783647
26	0.4651451443
27	0.4635147978
28	0.4623337678
29	0.4612876349
30	0.4605359601
31	0.4599971435
32	0.4593541082
33	0.4586548243
34	0.4579806413
35	0.4573379314
36	0.456949495
37	0.4564547392
38	0.4559903793
39	0.4557795852
40	0.4552623827
41	0.4548843808
42	0.4545320648
43	0.4540981779
44	0.4536995127
45	0.4535954254
46	0.4531839535
47	0.4530707569
48	0.4527949082
49	0.4524656721
50	0.4521937755
51	0.4519886293
52	0.4518677279
53	0.4515518044
54	0.4513039531
55	0.4512156757
56	0.4510966139
57	0.4509349095
58	0.4509127172
59	0.4507784262
60	0.4506952367
61	0.4505030697
62	0.4503832462
63	0.4502895905
64	0.4500486747
65	0.4499494324
66	0.4498437068
67	0.4497237262
68	0.4495750133
69	0.4494946776
70	0.449487977
71	0.4494625394
72	0.4493635878
73	0.449212802
74	0.4491177542
75	0.4489306104
76	0.4487592412
77	0.4485463234
78	0.4484562816
79	0.4484507886
80	0.4482598857
81	0.4481064595
82	0.4480661705
83	0.4479836235
84	0.4478639801
85	0.4477035061
86	0.4474602007
87	0.4474090104
88	0.4473256094
89	0.4473126102
90	0.4472255547
91	0.4471224599
92	0.4469553543
93	0.4469499754
94	0.4469392223
95	0.4468919511
96	0.446683904
97	0.4466103504
